Domain,Skills (Keywords for Resume)
Java Developer,"Java (SE 8, 11, 17), Spring Framework (Spring Boot, Spring Cloud), Hibernate, JPA, Maven, Gradle, Git (Version Control), RESTful APIs, SOAP APIs, Microservices, Unit Testing (JUnit, Mockito), Integration Testing (Spring Integration), Build Automation (Jenkins, Maven), Continuous Integration/Continuous Delivery (CI/CD), Cloud Platforms (AWS, Azure, GCP), Docker, Kubernetes, JVM Performance Tuning, Design Patterns, Java (core, advanced), Spring Framework, Hibernate, JUnit, Maven, Git, OOP concepts, Web APIs, databases (MySQL, PostgreSQL), Java (SE 8+), Spring Framework (Spring Boot, MVC, Security), Hibernate, JPA, Recruitment (Sourcing, Screening, Interviewing), Talent Acquisition, Employee Relations (Performance Management, Compensation & Benefits), Labor Law Compliance, Payroll, Benefits Administration, HRIS Systems SQL (MySQL, PostgreSQL, Oracle, MS SQL Server), NoSQL Databases (MongoDB, Cassandra), Database Design (Normalization, ER Diagrams), Database Administration (Backup & Recovery, User Management, Security), Performance Tuning, Data Modeling, ETL (Extract, Transform, Load), Data Warehousing, Data Lakes, Cloud Platforms (AWS, Azure, GCP), Database Security, Replication(Workday, SAP HCM), Learning & Development, Talent Management, Diversity & Inclusion, Employee Engagement, Communication Skills, Negotiation, Problem-SolvingDependency Injection (DI), Maven, Gradle, Git, Version Control System (VCS), CI/CD (Jenkins, GitLab CI/CD), Unit Testing (JUnit, Mockito), Build Automation, RESTful APIs, SOAP APIs, Microservices, Cloud Platforms (AWS, Azure, GCP), Database Access (JDBC, JPA), Object-Oriented Programming (OOP), Design Patterns, Multithreading, Concurrency, Logging"
HR,"Recruitment, Talent Acquisition, Employee Relations, Performance Management, Compensation & Benefits, HR Information Systems (HRIS), Payroll, Labor Law Compliance, Diversity & Inclusion, Talent Management, Employer Branding, Employee Engagement, Learning & Development, HR Analytics, Recruitment, Talent Acquisition, Employee Relations, Performance Management, Compensation & Benefits, Payroll, HRIS, Talent Management, Labor Law, Communication, Negotiation"
Database Engineer,"SQL (MySQL, PostgreSQL, Oracle, SQL Server), NoSQL Databases (MongoDB, Cassandra, Redis), Database Design (Normalization, ER Modeling), Database Administration (Backup & Recovery, User Management, Security), Data Modeling, Database Performance Tuning, High Availability (HA), Disaster Recovery (DR), Data Warehousing, Data Lakes, Cloud Databases (AWS RDS, Azure SQL Database), SQL (various dialects), Database Administration (MySQL, PostgreSQL, Oracle), Database Design (normalization), Database Security, NoSQL databases (MongoDB, Cassandra), Data warehousing, ETL tools"
Advocate,"Law (Specific Area of Expertise - e.g. Intellectual Property, Criminal Law), Legal Research & Writing, Case Analysis, Legal Reasoning & Argumentation, Negotiation, Client Communication, Courtroom Advocacy, Legal Ethics, Legal Technology (eDiscovery, Case Management), Legal Project Management,Law degree, Litigation, Legal Research & Writing, Negotiation, Public Speaking, Client Communication, Legal Ethics, Regulatory Compliance, Case Management, Specific Industry Knowledge (e.g., healthcare, technology)"
Data Science,"Python (NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch), R (dplyr, ggplot2), Statistics (Descriptive, Inferential), Machine Learning (Supervised, Unsupervised, Deep Learning), Data Visualization (Tableau, Power BI), Data Analysis (Exploratory Data Analysis, Time Series Analysis), Big Data (Hadoop, Spark), Cloud Computing (AWS SageMaker, Azure Machine Learning), Python (libraries: NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch), Statistics, Machine Learning, Data Mining, Data Visualization (Tableau, Power BI), Big data (Hadoop, Spark), Data Analysis, Data Cleaning, Problem-Solving"
DevOps Engineer,"Linux Administration (CentOS, Ubuntu, Red Hat), Cloud Platforms (AWS, Azure, GCP), Infrastructure as Code (IaC) (Terraform, Ansible, Puppet, Chef), Configuration Management, CI/CD Pipelines (Jenkins, GitLab CI/CD), Containerization (Docker, Kubernetes), Infrastructure Automation, Monitoring & Logging (Prometheus, Grafana, ELK Stack), Security & Compliance (Cloud Security, Infrastructure Security), CI/CD tools (Jenkins, GitLab CI/CD), Cloud platforms (AWS, Azure, GCP), Infrastructure as Code (Terraform, Ansible), Containerization (Docker, Kubernetes), Linux administration, Scripting languages (Bash, Python), Monitoring & logging tools (Prometheus, ELK Stack)"
Testing Engineer,"Manual Testing, Automation Testing (Selenium, Appium, Cypress, Playwright), Test Automation Frameworks (JUnit, pytest, TestNG), BDD (Cucumber, SpecFlow), API Testing, Performance Testing, Security Testing, Mobile Testing (Android, iOS), Test Case Design, Defect Management (Bugzilla, Jira),Manual Testing, Automation Testing (Selenium, Appium), Test Automation frameworks (JUnit, TestNG), API Testing, Performance Testing, Security Testing, Agile methodologies, Defect Management tools (Jira, Bugzilla)"
DotNet Developer,"C#, ASP.NET MVC, ASP.NET Core, .NET Framework, .NET 5/6, Entity Framework (Core), SQL Server, Windows Server, Active Directory (AD), Azure AD, Web API, Unit Testing (xUnit, NUnit), TDD,C#, ASP.NET MVC, .NET Core, Entity Framework, SQL Server, Windows Server, Azure AD, Web Services (SOAP, REST), Unit Testing, UI/UX Design"
Hadoop,"Big Data, HDFS, YARN, MapReduce, Spark (Spark SQL, Spark Streaming), Hive, Pig, Sqoop, Flume, Oozie, HBase, Zookeeper, Data Warehousing, Data Lake, Cloud-based Hadoop (AWS EMR, Azure HDInsight),Big Data, HDFS, YARN, MapReduce, Spark, Hive, Pig, Sqoop, Flume, Data Lake, Data Warehouse, Distributed Systems"
Automation Testing,"Python (Selenium, Appium), Java (Selenium), JavaScript (Cypress, Playwright), BDD (Cucumber, SpecFlow), Robot Framework, API Testing (RESTful, SOAP), UI Testing, Mobile Testing (Appium, Calabash), Cross-browser Testing, Keyword-Driven Testing, Data-Driven Testing, Behavior-Driven Development (BDD), Automation frameworks (Selenium, Appium, RPA tools), Scripting languages (Python, Java), API Testing, Web UI Testing, Mobile App Testing, Testing methodologies (BDD, TDD), CI/CD pipeline integration"
